SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Total,Portugal,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2341
Total,Portugal,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1981
Total,Portugal,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2225
Total,Portugal,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1750
Total,Portugal,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1965
Total,Portugal,Transportation and storage,2018,Euro,2641
Total,Portugal,Transportation and storage,2018,Purchasing power standard (PPS),2966
Total,Portugal,Accommodation and food service activities,2018,Euro,1441
Total,Portugal,Accommodation and food service activities,2018,Purchasing power standard (PPS),1618
Total,Portugal,Information and communication,2018,Euro,2220
Total,Portugal,Information and communication,2018,Purchasing power standard (PPS),2493
Total,Portugal,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2150
Total,Portugal,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2414
Total,Portugal,Financial and insurance activities,2018,Euro,2678
Total,Portugal,Financial and insurance activities,2018,Purchasing power standard (PPS),3006
Total,Portugal,Real estate activities,2018,Euro,1982
Total,Portugal,Real estate activities,2018,Purchasing power standard (PPS),2225
Total,Portugal,Professional scientific and technical activities,2018,Euro,2137
Total,Portugal,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2400
Total,Portugal,Administrative and support service activities,2018,Euro,1409
Total,Portugal,Administrative and support service activities,2018,Purchasing power standard (PPS),1582
Total,Portugal,Public administration and defence; compulsory social security,2018,Euro,0
Total,Portugal,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),0
Total,Portugal,Education,2018,Euro,2283
Total,Portugal,Education,2018,Purchasing power standard (PPS),2564
Total,Portugal,Human health and social work activities,2018,Euro,1893
Total,Portugal,Human health and social work activities,2018,Purchasing power standard (PPS),2126
Total,Portugal,Arts entertainment and recreation,2018,Euro,1642
Total,Portugal,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1843
Total,Portugal,Other service activities,2018,Euro,1757
Total,Portugal,Other service activities,2018,Purchasing power standard (PPS),1973
Total,Romania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1528
Total,Romania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2823
Total,Romania,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1501
Total,Romania,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2774
Total,Romania,Business economy,2018,Euro,1485
Total,Romania,Business economy,2018,Purchasing power standard (PPS),2745
Total,Romania,Industry and construction,2018,Euro,1381
Total,Romania,Industry and construction,2018,Purchasing power standard (PPS),2552
Total,Romania,Industry (except construction),2018,Euro,1433
Total,Romania,Industry (except construction),2018,Purchasing power standard (PPS),2649
Total,Romania,Mining and quarrying,2018,Euro,2102
Total,Romania,Mining and quarrying,2018,Purchasing power standard (PPS),3886
Total,Romania,Manufacturing,2018,Euro,1409
Total,Romania,Manufacturing,2018,Purchasing power standard (PPS),2605
Total,Romania,Electricity gas steam and air conditioning supply,2018,Euro,1531
Total,Romania,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2831
Total,Romania,Water supply; sewerage waste management and remediation activities,2018,Euro,1167
Total,Romania,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2156
Total,Romania,Construction,2018,Euro,1158
Total,Romania,Construction,2018,Purchasing power standard (PPS),2140
Total,Romania,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1562
Total,Romania,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2888
Total,Romania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1534
Total,Romania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2835
Total,Romania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1536
Total,Romania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2838
Total,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1259
Total,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2327
Total,Romania,Transportation and storage,2018,Euro,1324
Total,Romania,Transportation and storage,2018,Purchasing power standard (PPS),2446
Total,Romania,Accommodation and food service activities,2018,Euro,850
Total,Romania,Accommodation and food service activities,2018,Purchasing power standard (PPS),1571
Total,Romania,Information and communication,2018,Euro,2107
Total,Romania,Information and communication,2018,Purchasing power standard (PPS),3894
Total,Romania,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1530
Total,Romania,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2828
Total,Romania,Financial and insurance activities,2018,Euro,1579
Total,Romania,Financial and insurance activities,2018,Purchasing power standard (PPS),2919
Total,Romania,Real estate activities,2018,Euro,1206
Total,Romania,Real estate activities,2018,Purchasing power standard (PPS),2228
Total,Romania,Professional scientific and technical activities,2018,Euro,1667
Total,Romania,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3080
Total,Romania,Administrative and support service activities,2018,Euro,1315
Total,Romania,Administrative and support service activities,2018,Purchasing power standard (PPS),2430
Total,Romania,Public administration and defence; compulsory social security,2018,Euro,1749
Total,Romania,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3232
Total,Romania,Education,2018,Euro,1268
Total,Romania,Education,2018,Purchasing power standard (PPS),2343
Total,Romania,Human health and social work activities,2018,Euro,2201
Total,Romania,Human health and social work activities,2018,Purchasing power standard (PPS),4068
Total,Romania,Arts entertainment and recreation,2018,Euro,1167
Total,Romania,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2158
Total,Romania,Other service activities,2018,Euro,1086
Total,Romania,Other service activities,2018,Purchasing power standard (PPS),2007
Total,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2362
Total,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2709
Total,Slovenia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2376
Total,Slovenia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2726
Total,Slovenia,Business economy,2018,Euro,2507
Total,Slovenia,Business economy,2018,Purchasing power standard (PPS),2875
Total,Slovenia,Industry and construction,2018,Euro,2572
Total,Slovenia,Industry and construction,2018,Purchasing power standard (PPS),2950
Total,Slovenia,Industry (except construction),2018,Euro,2604
Total,Slovenia,Industry (except construction),2018,Purchasing power standard (PPS),2987
Total,Slovenia,Mining and quarrying,2018,Euro,2961
Total,Slovenia,Mining and quarrying,2018,Purchasing power standard (PPS),3396
Total,Slovenia,Manufacturing,2018,Euro,2561
Total,Slovenia,Manufacturing,2018,Purchasing power standard (PPS),2938
Total,Slovenia,Electricity gas steam and air conditioning supply,2018,Euro,3102
Total,Slovenia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3558
Total,Slovenia,Water supply; sewerage waste management and remediation activities,2018,Euro,2480
Total,Slovenia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2845
Total,Slovenia,Construction,2018,Euro,2215
Total,Slovenia,Construction,2018,Purchasing power standard (PPS),2540
Total,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2308
Total,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2648
Total,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2317
Total,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2657
Total,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2425
Total,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2782
Total,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2305
Total,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2644
Total,Slovenia,Transportation and storage,2018,Euro,2584
Total,Slovenia,Transportation and storage,2018,Purchasing power standard (PPS),2963
Total,Slovenia,Accommodation and food service activities,2018,Euro,1898
Total,Slovenia,Accommodation and food service activities,2018,Purchasing power standard (PPS),2177
Total,Slovenia,Information and communication,2018,Euro,2694
Total,Slovenia,Information and communication,2018,Purchasing power standard (PPS),3090
Total,Slovenia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2518
Total,Slovenia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2888
Total,Slovenia,Financial and insurance activities,2018,Euro,2665
Total,Slovenia,Financial and insurance activities,2018,Purchasing power standard (PPS),3057
Total,Slovenia,Real estate activities,2018,Euro,2288
Total,Slovenia,Real estate activities,2018,Purchasing power standard (PPS),2625
Total,Slovenia,Professional scientific and technical activities,2018,Euro,2643
Total,Slovenia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3032
Total,Slovenia,Administrative and support service activities,2018,Euro,1778
Total,Slovenia,Administrative and support service activities,2018,Purchasing power standard (PPS),2039
Total,Slovenia,Public administration and defence; compulsory social security,2018,Euro,2267
Total,Slovenia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2601
Total,Slovenia,Education,2018,Euro,2051
Total,Slovenia,Education,2018,Purchasing power standard (PPS),2353
Total,Slovenia,Human health and social work activities,2018,Euro,2433
Total,Slovenia,Human health and social work activities,2018,Purchasing power standard (PPS),2791
Total,Slovenia,Arts entertainment and recreation,2018,Euro,2119
Total,Slovenia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2430
Total,Slovenia,Other service activities,2018,Euro,2119
Total,Slovenia,Other service activities,2018,Purchasing power standard (PPS),2431
Total,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1572
Total,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1972
Total,Slovakia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1609
Total,Slovakia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2019
Total,Slovakia,Business economy,2018,Euro,1812
Total,Slovakia,Business economy,2018,Purchasing power standard (PPS),2274
Total,Slovakia,Industry and construction,2018,Euro,1762
Total,Slovakia,Industry and construction,2018,Purchasing power standard (PPS),2210
Total,Slovakia,Industry (except construction),2018,Euro,1808
Total,Slovakia,Industry (except construction),2018,Purchasing power standard (PPS),2268
Total,Slovakia,Mining and quarrying,2018,Euro,1680
Total,Slovakia,Mining and quarrying,2018,Purchasing power standard (PPS),2108
Total,Slovakia,Manufacturing,2018,Euro,1797
Total,Slovakia,Manufacturing,2018,Purchasing power standard (PPS),2254
Total,Slovakia,Electricity gas steam and air conditioning supply,2018,Euro,2086
Total,Slovakia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2617
Total,Slovakia,Water supply; sewerage waste management and remediation activities,2018,Euro,1581
Total,Slovakia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),1984
Total,Slovakia,Construction,2018,Euro,1512
Total,Slovakia,Construction,2018,Purchasing power standard (PPS),1897
Total,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1531
Total,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1922
Total,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1569
Total,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1969
Total,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1830
Total,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2296
Total,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1749
Total,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2195
Total,Slovakia,Transportation and storage,2018,Euro,1547
Total,Slovakia,Transportation and storage,2018,Purchasing power standard (PPS),1942
Total,Slovakia,Accommodation and food service activities,2018,Euro,1236
Total,Slovakia,Accommodation and food service activities,2018,Purchasing power standard (PPS),1551
Total,Slovakia,Information and communication,2018,Euro,2167
Total,Slovakia,Information and communication,2018,Purchasing power standard (PPS),2720
Total,Slovakia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1851
Total,Slovakia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2323
Total,Slovakia,Financial and insurance activities,2018,Euro,2082
Total,Slovakia,Financial and insurance activities,2018,Purchasing power standard (PPS),2612
Total,Slovakia,Real estate activities,2018,Euro,1680
Total,Slovakia,Real estate activities,2018,Purchasing power standard (PPS),2108
Total,Slovakia,Professional scientific and technical activities,2018,Euro,1911
Total,Slovakia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2398
Total,Slovakia,Administrative and support service activities,2018,Euro,1334
Total,Slovakia,Administrative and support service activities,2018,Purchasing power standard (PPS),1674
Total,Slovakia,Public administration and defence; compulsory social security,2018,Euro,1360
Total,Slovakia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),1707
Total,Slovakia,Education,2018,Euro,1187
Total,Slovakia,Education,2018,Purchasing power standard (PPS),1490
Total,Slovakia,Human health and social work activities,2018,Euro,1624
Total,Slovakia,Human health and social work activities,2018,Purchasing power standard (PPS),2037
Total,Slovakia,Arts entertainment and recreation,2018,Euro,1281
Total,Slovakia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1608
Total,Slovakia,Other service activities,2018,Euro,931
Total,Slovakia,Other service activities,2018,Purchasing power standard (PPS),1168
Total,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3927
Total,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3117
Total,Finland,Industry construction and services (except public administration defense compulsory social security),2018,Euro,3924
Total,Finland,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3115
Total,Finland,Business economy,2018,Euro,4222
Total,Finland,Business economy,2018,Purchasing power standard (PPS),3351
Total,Finland,Industry and construction,2018,Euro,4478
Total,Finland,Industry and construction,2018,Purchasing power standard (PPS),3555
Total,Finland,Industry (except construction),2018,Euro,4524
Total,Finland,Industry (except construction),2018,Purchasing power standard (PPS),3591
Total,Finland,Mining and quarrying,2018,Euro,4997
Total,Finland,Mining and quarrying,2018,Purchasing power standard (PPS),3967
Total,Finland,Manufacturing,2018,Euro,4505
Total,Finland,Manufacturing,2018,Purchasing power standard (PPS),3576
Total,Finland,Electricity gas steam and air conditioning supply,2018,Euro,4933
Total,Finland,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3917
Total,Finland,Water supply; sewerage waste management and remediation activities,2018,Euro,3955
Total,Finland,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3140
Total,Finland,Construction,2018,Euro,4287
Total,Finland,Construction,2018,Purchasing power standard (PPS),3404
Total,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3823
Total,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3035
Total,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3807
Total,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3022
Total,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4105
Total,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3259
Total,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,3917
Total,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3110
Total,Finland,Transportation and storage,2018,Euro,3977
Total,Finland,Transportation and storage,2018,Purchasing power standard (PPS),3157
Total,Finland,Accommodation and food service activities,2018,Euro,2881
Total,Finland,Accommodation and food service activities,2018,Purchasing power standard (PPS),2287
Total,Finland,Information and communication,2018,Euro,4592
Total,Finland,Information and communication,2018,Purchasing power standard (PPS),3646
Total,Finland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,4095
Total,Finland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3251
Total,Finland,Financial and insurance activities,2018,Euro,4603
Total,Finland,Financial and insurance activities,2018,Purchasing power standard (PPS),3654
Total,Finland,Real estate activities,2018,Euro,3939
Total,Finland,Real estate activities,2018,Purchasing power standard (PPS),3127
Total,Finland,Professional scientific and technical activities,2018,Euro,4244
Total,Finland,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3369
Total,Finland,Administrative and support service activities,2018,Euro,3198
Total,Finland,Administrative and support service activities,2018,Purchasing power standard (PPS),2539
Total,Finland,Public administration and defence; compulsory social security,2018,Euro,3950
Total,Finland,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3136
Total,Finland,Education,2018,Euro,3790
Total,Finland,Education,2018,Purchasing power standard (PPS),3009
Total,Finland,Human health and social work activities,2018,Euro,3466
Total,Finland,Human health and social work activities,2018,Purchasing power standard (PPS),2752
Total,Finland,Arts entertainment and recreation,2018,Euro,3128
Total,Finland,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2483
Total,Finland,Other service activities,2018,Euro,3511
Total,Finland,Other service activities,2018,Purchasing power standard (PPS),2787
Total,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3976
Total,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3217
Total,Sweden,Industry construction and services (except public administration defense compulsory social security),2018,Euro,3981
Total,Sweden,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3221
Total,Sweden,Business economy,2018,Euro,4460
Total,Sweden,Business economy,2018,Purchasing power standard (PPS),3609
Total,Sweden,Industry and construction,2018,Euro,4690
Total,Sweden,Industry and construction,2018,Purchasing power standard (PPS),3795
Total,Sweden,Industry (except construction),2018,Euro,4750
Total,Sweden,Industry (except construction),2018,Purchasing power standard (PPS),3843
Total,Sweden,Mining and quarrying,2018,Euro,4763
Total,Sweden,Mining and quarrying,2018,Purchasing power standard (PPS),3854
Total,Sweden,Manufacturing,2018,Euro,4752
Total,Sweden,Manufacturing,2018,Purchasing power standard (PPS),3845
Total,Sweden,Electricity gas steam and air conditioning supply,2018,Euro,4816
Total,Sweden,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3896
Total,Sweden,Water supply; sewerage waste management and remediation activities,2018,Euro,4453
Total,Sweden,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3602
Total,Sweden,Construction,2018,Euro,4373
Total,Sweden,Construction,2018,Purchasing power standard (PPS),3538
Total,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3896
Total,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3152
Total,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3896
Total,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3152
Total,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4286
Total,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3468
Total,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,4212
Total,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3408
Total,Sweden,Transportation and storage,2018,Euro,3979
Total,Sweden,Transportation and storage,2018,Purchasing power standard (PPS),3219
Total,Sweden,Accommodation and food service activities,2018,Euro,2872
Total,Sweden,Accommodation and food service activities,2018,Purchasing power standard (PPS),2324
Total,Sweden,Information and communication,2018,Euro,4746
Total,Sweden,Information and communication,2018,Purchasing power standard (PPS),3840
Total,Sweden,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,4483
Total,Sweden,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3627
Total,Sweden,Financial and insurance activities,2018,Euro,5627
Total,Sweden,Financial and insurance activities,2018,Purchasing power standard (PPS),4553
Total,Sweden,Real estate activities,2018,Euro,4652
Total,Sweden,Real estate activities,2018,Purchasing power standard (PPS),3764
Total,Sweden,Professional scientific and technical activities,2018,Euro,4543
Total,Sweden,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3676
Total,Sweden,Administrative and support service activities,2018,Euro,3607
Total,Sweden,Administrative and support service activities,2018,Purchasing power standard (PPS),2918
Total,Sweden,Public administration and defence; compulsory social security,2018,Euro,3898
Total,Sweden,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3154
Total,Sweden,Education,2018,Euro,3573
Total,Sweden,Education,2018,Purchasing power standard (PPS),2891
Total,Sweden,Human health and social work activities,2018,Euro,3632
Total,Sweden,Human health and social work activities,2018,Purchasing power standard (PPS),2939
Total,Sweden,Arts entertainment and recreation,2018,Euro,3401
Total,Sweden,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2752
Total,Sweden,Other service activities,2018,Euro,3880
Total,Sweden,Other service activities,2018,Purchasing power standard (PPS),3139
Total,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,6089
Total,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3751
Total,Iceland,Industry construction and services (except public administration defense compulsory social security),2018,Euro,6053
Total,Iceland,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3729
Total,Iceland,Business economy,2018,Euro,7347
Total,Iceland,Business economy,2018,Purchasing power standard (PPS),4526
Total,Iceland,Industry and construction,2018,Euro,7433
Total,Iceland,Industry and construction,2018,Purchasing power standard (PPS),4579
Total,Iceland,Industry (except construction),2018,Euro,7473
Total,Iceland,Industry (except construction),2018,Purchasing power standard (PPS),4603
Total,Iceland,Mining and quarrying,2018,Euro,0
Total,Iceland,Mining and quarrying,2018,Purchasing power standard (PPS),0
Total,Iceland,Manufacturing,2018,Euro,7129
Total,Iceland,Manufacturing,2018,Purchasing power standard (PPS),4392
Total,Iceland,Electricity gas steam and air conditioning supply,2018,Euro,8728
Total,Iceland,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),5376
Total,Iceland,Water supply; sewerage waste management and remediation activities,2018,Euro,6916
Total,Iceland,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),4260
Total,Iceland,Construction,2018,Euro,7266
Total,Iceland,Construction,2018,Purchasing power standard (PPS),4476
Total,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5981
Total,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3684
Total,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5924
Total,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3649
Total,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,6813
Total,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),4197
Total,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,7513
Total,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),4628
Total,Iceland,Transportation and storage,2018,Euro,6449
Total,Iceland,Transportation and storage,2018,Purchasing power standard (PPS),3972
Total,Iceland,Accommodation and food service activities,2018,Euro,4746
Total,Iceland,Accommodation and food service activities,2018,Purchasing power standard (PPS),2923
Total,Iceland,Information and communication,2018,Euro,6058
Total,Iceland,Information and communication,2018,Purchasing power standard (PPS),3731
Total,Iceland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,8550
Total,Iceland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),5267
Total,Iceland,Financial and insurance activities,2018,Euro,8550
Total,Iceland,Financial and insurance activities,2018,Purchasing power standard (PPS),5267
Total,Iceland,Real estate activities,2018,Euro,0
Total,Iceland,Real estate activities,2018,Purchasing power standard (PPS),0
Total,Iceland,Professional scientific and technical activities,2018,Euro,0
Total,Iceland,Professional scientific and technical activities,2018,Purchasing power standard (PPS),0
Total,Iceland,Administrative and support service activities,2018,Euro,0
Total,Iceland,Administrative and support service activities,2018,Purchasing power standard (PPS),0
Total,Iceland,Public administration and defence; compulsory social security,2018,Euro,6345
Total,Iceland,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3908
Total,Iceland,Education,2018,Euro,4771
Total,Iceland,Education,2018,Purchasing power standard (PPS),2939
Total,Iceland,Human health and social work activities,2018,Euro,6221
Total,Iceland,Human health and social work activities,2018,Purchasing power standard (PPS),3832
Total,Iceland,Arts entertainment and recreation,2018,Euro,0
Total,Iceland,Arts entertainment and recreation,2018,Purchasing power standard (PPS),0
Total,Iceland,Other service activities,2018,Euro,0
Total,Iceland,Other service activities,2018,Purchasing power standard (PPS),0
Total,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5614
Total,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3717
Total,Norway,Industry construction and services (except public administration defense compulsory social security),2018,Euro,5623
Total,Norway,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3723
Total,Norway,Business economy,2018,Euro,6416
Total,Norway,Business economy,2018,Purchasing power standard (PPS),4248
Total,Norway,Industry and construction,2018,Euro,7259
Total,Norway,Industry and construction,2018,Purchasing power standard (PPS),4806
Total,Norway,Industry (except construction),2018,Euro,7570
Total,Norway,Industry (except construction),2018,Purchasing power standard (PPS),5012
Total,Norway,Mining and quarrying,2018,Euro,9382
Total,Norway,Mining and quarrying,2018,Purchasing power standard (PPS),6212
Total,Norway,Manufacturing,2018,Euro,6721
Total,Norway,Manufacturing,2018,Purchasing power standard (PPS),4450
Total,Norway,Electricity gas steam and air conditioning supply,2018,Euro,7467
Total,Norway,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),4944
Total,Norway,Water supply; sewerage waste management and remediation activities,2018,Euro,5776
Total,Norway,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3824
Total,Norway,Construction,2018,Euro,6297
Total,Norway,Construction,2018,Purchasing power standard (PPS),4169
Total,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5388
Total,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3568
Total,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5367
