SEX,GEO,SIZECLAS,Value
Total,Romania,Water supply; sewerage waste management and remediation activities,773
Total,Romania,Construction,727
Total,Romania,Services (except activities of households as employers and extra-territorial organisations and bodies),1062
Total,Romania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1037
Total,Romania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,933
Total,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,825
Total,Romania,Transportation and storage,822
Total,Romania,Accommodation and food service activities,566
Total,Romania,Information and communication,1790
Total,Romania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1014
Total,Romania,Financial and insurance activities,1450
Total,Romania,Real estate activities,784
Total,Romania,Professional scientific and technical activities,1340
Total,Romania,Administrative and support service activities,743
Total,Romania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1242
Total,Romania,Public administration and defence; compulsory social security1291
Total,Romania,Education; human health and social work activities; arts entertainment and recreation; other service activities,1224
Total,Romania,Education,1125
Total,Romania,Human health and social work activities,1460
Total,Romania,Arts entertainment and recreation,821
Total,Romania,Other service activities,745
Total,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1743
Total,Slovenia,Industry construction and services (except public administration defense compulsory social security),1719
Total,Slovenia,Business economy,1697
Total,Slovenia,Industry and construction,1673
Total,Slovenia,Industry (except construction),1700
Total,Slovenia,Mining and quarrying,2261
Total,Slovenia,Manufacturing,1664
Total,Slovenia,Electricity gas steam and air conditioning supply,2461
Total,Slovenia,Water supply; sewerage waste management and remediation activities,1636
Total,Slovenia,Construction,1496
Total,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),1781
Total,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1747
Total,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1661
Total,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1602
Total,Slovenia,Transportation and storage,1583
Total,Slovenia,Accommodation and food service activities,1307
Total,Slovenia,Information and communication,2467
Total,Slovenia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1841
Total,Slovenia,Financial and insurance activities,2361
Total,Slovenia,Real estate activities,1837
Total,Slovenia,Professional scientific and technical activities,2249
Total,Slovenia,Administrative and support service activities,1239
Total,Slovenia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1856
Total,Slovenia,Public administration and defence; compulsory social security2034
Total,Slovenia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1793
Total,Slovenia,Education,1779
Total,Slovenia,Human health and social work activities,1816
Total,Slovenia,Arts entertainment and recreation,1849
Total,Slovenia,Other service activities,1532
Total,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1161
Total,Slovakia,Industry construction and services (except public administration defense compulsory social security),1164
Total,Slovakia,Business economy,1194
Total,Slovakia,Industry and construction,1186
Total,Slovakia,Industry (except construction),1200
Total,Slovakia,Mining and quarrying,1180
Total,Slovakia,Manufacturing,1195
Total,Slovakia,Electricity gas steam and air conditioning supply,1632
Total,Slovakia,Water supply; sewerage waste management and remediation activities,1003
Total,Slovakia,Construction,1090
Total,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),1149
Total,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1152
Total,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1159
Total,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1127
Total,Slovakia,Transportation and storage,1039
Total,Slovakia,Accommodation and food service activities,780
Total,Slovakia,Information and communication,1932
Total,Slovakia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1286
Total,Slovakia,Financial and insurance activities,1774
Total,Slovakia,Real estate activities,1104
Total,Slovakia,Professional scientific and technical activities,1529
Total,Slovakia,Administrative and support service activities,900
Total,Slovakia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1084
Total,Slovakia,Public administration and defence; compulsory social security1131
Total,Slovakia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1062
Total,Slovakia,Education,1019
Total,Slovakia,Human health and social work activities,1159
Total,Slovakia,Arts entertainment and recreation,1010
Total,Slovakia,Other service activities,829
Total,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3379
Total,Finland,Industry construction and services (except public administration defense compulsory social security),3360
Total,Finland,Business economy,3464
Total,Finland,Industry and construction,3663
Total,Finland,Industry (except construction),3726
Total,Finland,Mining and quarrying,4049
Total,Finland,Manufacturing,3701
Total,Finland,Electricity gas steam and air conditioning supply,4528
Total,Finland,Water supply; sewerage waste management and remediation activities,3359
Total,Finland,Construction,3497
Total,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),3300
Total,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3266
Total,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3308
Total,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3124
Total,Finland,Transportation and storage,3335
Total,Finland,Accommodation and food service activities,2449
Total,Finland,Information and communication,4420
Total,Finland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3426
Total,Finland,Financial and insurance activities,4321
Total,Finland,Real estate activities,3506
Total,Finland,Professional scientific and technical activities,3970
Total,Finland,Administrative and support service activities,2593
Total,Finland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3249
Total,Finland,Public administration and defence; compulsory social security3649
Total,Finland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3165
Total,Finland,Education,3528
Total,Finland,Human health and social work activities,3041
Total,Finland,Arts entertainment and recreation,2943
Total,Finland,Other service activities,3040
Total,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3496
Total,Sweden,Industry construction and services (except public administration defense compulsory social security),3488
Total,Sweden,Business economy,3686
Total,Sweden,Industry and construction,3790
Total,Sweden,Industry (except construction),3813
Total,Sweden,Mining and quarrying,4116
Total,Sweden,Manufacturing,3790
Total,Sweden,Electricity gas steam and air conditioning supply,4321
Total,Sweden,Water supply; sewerage waste management and remediation activities,3538
Total,Sweden,Construction,3736
Total,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),3426
Total,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3412
Total,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3509
Total,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,3451
Total,Sweden,Transportation and storage,3299
Total,Sweden,Accommodation and food service activities,2692
Total,Sweden,Information and communication,4514
Total,Sweden,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3834
Total,Sweden,Financial and insurance activities,5054
Total,Sweden,Real estate activities,3730
Total,Sweden,Professional scientific and technical activities,4343
Total,Sweden,Administrative and support service activities,3063
Total,Sweden,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3248
Total,Sweden,Public administration and defence; compulsory social security3723
Total,Sweden,Education; human health and social work activities; arts entertainment and recreation; other service activities,3205
Total,Sweden,Education,3211
Total,Sweden,Human health and social work activities,3198
Total,Sweden,Arts entertainment and recreation,3055
Total,Sweden,Other service activities,3379
Total,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4922
Total,Iceland,Industry construction and services (except public administration defense compulsory social security),4854
Total,Iceland,Business economy,4938
Total,Iceland,Industry and construction,5302
Total,Iceland,Industry (except construction),5220
Total,Iceland,Mining and quarrying,0
Total,Iceland,Manufacturing,5100
Total,Iceland,Electricity gas steam and air conditioning supply,6889
Total,Iceland,Water supply; sewerage waste management and remediation activities,4716
Total,Iceland,Construction,5564
Total,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),4833
Total,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4740
Total,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4525
Total,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,4892
Total,Iceland,Transportation and storage,4975
Total,Iceland,Accommodation and food service activities,3519
Total,Iceland,Information and communication,5500
Total,Iceland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,7395
Total,Iceland,Financial and insurance activities,7395
Total,Iceland,Real estate activities,0
Total,Iceland,Professional scientific and technical activities,0
Total,Iceland,Administrative and support service activities,0
Total,Iceland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4898
Total,Iceland,Public administration and defence; compulsory social security5863
Total,Iceland,Education; human health and social work activities; arts entertainment and recreation; other service activities,4693
Total,Iceland,Education,4266
Total,Iceland,Human health and social work activities,5097
Total,Iceland,Arts entertainment and recreation,0
Total,Iceland,Other service activities,0
Total,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4772
Total,Norway,Industry construction and services (except public administration defense compulsory social security),4743
Total,Norway,Business economy,4919
Total,Norway,Industry and construction,5306
Total,Norway,Industry (except construction),5713
Total,Norway,Mining and quarrying,8094
Total,Norway,Manufacturing,5080
Total,Norway,Electricity gas steam and air conditioning supply,6390
Total,Norway,Water supply; sewerage waste management and remediation activities,4649
Total,Norway,Construction,4671
Total,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),4635
Total,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4584
Total,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4443
Total,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,4132
Total,Norway,Transportation and storage,4892
Total,Norway,Accommodation and food service activities,3175
Total,Norway,Information and communication,6340
Total,Norway,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5229
Total,Norway,Financial and insurance activities,6875
Total,Norway,Real estate activities,5760
Total,Norway,Professional scientific and technical activities,6035
Total,Norway,Administrative and support service activities,4041
Total,Norway,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4568
Total,Norway,Public administration and defence; compulsory social security5161
Total,Norway,Education; human health and social work activities; arts entertainment and recreation; other service activities,4450
Total,Norway,Education,4629
Total,Norway,Human health and social work activities,4418
Total,Norway,Arts entertainment and recreation,3920
Total,Norway,Other service activities,4479
Total,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),6622
Total,Switzerland,Industry construction and services (except public administration defense compulsory social security),6620
Total,Switzerland,Business economy,6633
Total,Switzerland,Industry and construction,6361
Total,Switzerland,Industry (except construction),6464
Total,Switzerland,Mining and quarrying,6237
Total,Switzerland,Manufacturing,6414
Total,Switzerland,Electricity gas steam and air conditioning supply,7653
Total,Switzerland,Water supply; sewerage waste management and remediation activities,6306
Total,Switzerland,Construction,6091
Total,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),6715
Total,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),6712
Total,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,6143
Total,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,6090
Total,Switzerland,Transportation and storage,5992
Total,Switzerland,Accommodation and food service activities,4461
Total,Switzerland,Information and communication,8565
Total,Switzerland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,7632
Total,Switzerland,Financial and insurance activities,9544
Total,Switzerland,Real estate activities,6787
Total,Switzerland,Professional scientific and technical activities,8432
Total,Switzerland,Administrative and support service activities,5388
Total,Switzerland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,6587
Total,Switzerland,Public administration and defence; compulsory social security7976
Total,Switzerland,Education; human health and social work activities; arts entertainment and recreation; other service activities,6578
Total,Switzerland,Education,7752
Total,Switzerland,Human health and social work activities,6328
Total,Switzerland,Arts entertainment and recreation,6322
Total,Switzerland,Other service activities,6695
Total,United Kingdom,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3266
Total,United Kingdom,Industry construction and services (except public administration defense compulsory social security),3258
Total,United Kingdom,Business economy,3334
Total,United Kingdom,Industry and construction,3503
Total,United Kingdom,Industry (except construction),3431
Total,United Kingdom,Mining and quarrying,5002
Total,United Kingdom,Manufacturing,3350
Total,United Kingdom,Electricity gas steam and air conditioning supply,4140
Total,United Kingdom,Water supply; sewerage waste management and remediation activities,3445
Total,United Kingdom,Construction,3745
Total,United Kingdom,Services (except activities of households as employers and extra-territorial organisations and bodies),3227
Total,United Kingdom,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3215
Total,United Kingdom,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2868
Total,United Kingdom,Wholesale and retail trade; repair of motor vehicles and motorcycles,2672
Total,United Kingdom,Transportation and storage,3327
Total,United Kingdom,Accommodation and food service activities,1999
Total,United Kingdom,Information and communication,4334
Total,United Kingdom,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3897
Total,United Kingdom,Financial and insurance activities,5063
Total,United Kingdom,Real estate activities,3258
Total,United Kingdom,Professional scientific and technical activities,4459
Total,United Kingdom,Administrative and support service activities,2813
Total,United Kingdom,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3164
Total,United Kingdom,Public administration and defence; compulsory social security3397
Total,United Kingdom,Education; human health and social work activities; arts entertainment and recreation; other service activities,3128
Total,United Kingdom,Education,3191
Total,United Kingdom,Human health and social work activities,3120
Total,United Kingdom,Arts entertainment and recreation,2838
Total,United Kingdom,Other service activities,2983
Total,North Macedonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),600
Total,North Macedonia,Industry construction and services (except public administration defense compulsory social security),586
Total,North Macedonia,Business economy,584
Total,North Macedonia,Industry and construction,533
Total,North Macedonia,Industry (except construction),529
Total,North Macedonia,Mining and quarrying,838
Total,North Macedonia,Manufacturing,490
Total,North Macedonia,Electricity gas steam and air conditioning supply,942
Total,North Macedonia,Water supply; sewerage waste management and remediation activities,502
Total,North Macedonia,Construction,561
Total,North Macedonia,Services (except activities of households as employers and extra-territorial organisations and bodies),638
Total,North Macedonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),624
Total,North Macedonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,645
Total,North Macedonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,610
Total,North Macedonia,Transportation and storage,626
Total,North Macedonia,Accommodation and food service activities,436
Total,North Macedonia,Information and communication,1088
Total,North Macedonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,623
Total,North Macedonia,Financial and insurance activities,994
Total,North Macedonia,Real estate activities,486
Total,North Macedonia,Professional scientific and technical activities,719
Total,North Macedonia,Administrative and support service activities,450
Total,North Macedonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,637
Total,North Macedonia,Public administration and defence; compulsory social security702
Total,North Macedonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,597
Total,North Macedonia,Education,579
Total,North Macedonia,Human health and social work activities,626
Total,North Macedonia,Arts entertainment and recreation,545
Total,North Macedonia,Other service activities,779
Total,Albania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Albania,Industry construction and services (except public administration defense compulsory social security),398
Total,Albania,Business economy,378
Total,Albania,Industry and construction,345
Total,Albania,Industry (except construction),342
Total,Albania,Mining and quarrying,642
Total,Albania,Manufacturing,275
Total,Albania,Electricity gas steam and air conditioning supply,610
Total,Albania,Water supply; sewerage waste management and remediation activities,329
Total,Albania,Construction,355
Total,Albania,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Albania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),433
Total,Albania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,351
Total,Albania,Wholesale and retail trade; repair of motor vehicles and motorcycles,316
Total,Albania,Transportation and storage,416
Total,Albania,Accommodation and food service activities,262
Total,Albania,Information and communication,590
Total,Albania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,523
Total,Albania,Financial and insurance activities,802
Total,Albania,Real estate activities,395
Total,Albania,Professional scientific and technical activities,504
Total,Albania,Administrative and support service activities,447
Total,Albania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Total,Albania,Public administration and defence; compulsory social security0
Total,Albania,Education; human health and social work activities; arts entertainment and recreation; other service activities,465
Total,Albania,Education,485
Total,Albania,Human health and social work activities,442
Total,Albania,Arts entertainment and recreation,428
Total,Albania,Other service activities,449
Total,Serbia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),631
Total,Serbia,Industry construction and services (except public administration defense compulsory social security),626
Total,Serbia,Business economy,630
Total,Serbia,Industry and construction,617
Total,Serbia,Industry (except construction),630
Total,Serbia,Mining and quarrying,826
Total,Serbia,Manufacturing,586
Total,Serbia,Electricity gas steam and air conditioning supply,1099
Total,Serbia,Water supply; sewerage waste management and remediation activities,515
Total,Serbia,Construction,517
Total,Serbia,Services (except activities of households as employers and extra-territorial organisations and bodies),639
Total,Serbia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),632
Total,Serbia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,594
Total,Serbia,Wholesale and retail trade; repair of motor vehicles and motorcycles,527
Total,Serbia,Transportation and storage,603
Total,Serbia,Accommodation and food service activities,467
Total,Serbia,Information and communication,934
Total,Serbia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,736
Total,Serbia,Financial and insurance activities,1083
Total,Serbia,Real estate activities,690
Total,Serbia,Professional scientific and technical activities,893
Total,Serbia,Administrative and support service activities,500
Total,Serbia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,634
Total,Serbia,Public administration and defence; compulsory social security719
Total,Serbia,Education; human health and social work activities; arts entertainment and recreation; other service activities,615
Total,Serbia,Education,617
Total,Serbia,Human health and social work activities,627
Total,Serbia,Arts entertainment and recreation,526
Total,Serbia,Other service activities,653
Total,Turkey,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Turkey,Industry construction and services (except public administration defense compulsory social security),768
Total,Turkey,Business economy,702
Total,Turkey,Industry and construction,676
Total,Turkey,Industry (except construction),684
Total,Turkey,Mining and quarrying,841
Total,Turkey,Manufacturing,666
Total,Turkey,Electricity gas steam and air conditioning supply,866
Total,Turkey,Water supply; sewerage waste management and remediation activities,795
Total,Turkey,Construction,631
Total,Turkey,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Turkey,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),839
Total,Turkey,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,691
Total,Turkey,Wholesale and retail trade; repair of motor vehicles and motorcycles,657
Total,Turkey,Transportation and storage,777
Total,Turkey,Accommodation and food service activities,546
Total,Turkey,Information and communication,1367
Total,Turkey,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,856
Total,Turkey,Financial and insurance activities,1153
Total,Turkey,Real estate activities,706
Total,Turkey,Professional scientific and technical activities,1123
Total,Turkey,Administrative and support service activities,593
Total,Turkey,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Total,Turkey,Public administration and defence; compulsory social security0
Total,Turkey,Education; human health and social work activities; arts entertainment and recreation; other service activities,1052
Total,Turkey,Education,1077
Total,Turkey,Human health and social work activities,1031
Total,Turkey,Arts entertainment and recreation,922
Total,Turkey,Other service activities,835
Males,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Males,Belgium,Industry construction and services (except public administration defense compulsory social security),3529
Males,Belgium,Business economy,3642
Males,Belgium,Industry and construction,3814
Males,Belgium,Industry (except construction),3992
Males,Belgium,Mining and quarrying,3209
Males,Belgium,Manufacturing,3926
Males,Belgium,Electricity gas steam and air conditioning supply,5337
Males,Belgium,Water supply; sewerage waste management and remediation activities,4216
Males,Belgium,Construction,3337
Males,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Males,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3432
Males,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3413
Males,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,3428
Males,Belgium,Transportation and storage,3194
Males,Belgium,Accommodation and food service activities,2662
Males,Belgium,Information and communication,4643
Males,Belgium,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3817
Males,Belgium,Financial and insurance activities,4665
Males,Belgium,Real estate activities,3844
Males,Belgium,Professional scientific and technical activities,4677
Males,Belgium,Administrative and support service activities,2971
Males,Belgium,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Males,Belgium,Public administration and defence; compulsory social security0
Males,Belgium,Education; human health and social work activities; arts entertainment and recreation; other service activities,3195
Males,Belgium,Education,3788
Males,Belgium,Human health and social work activities,3023
Males,Belgium,Arts entertainment and recreation,2852
Males,Belgium,Other service activities,3128
Males,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),653
Males,Bulgaria,Industry construction and services (except public administration defense compulsory social security),653
Males,Bulgaria,Business economy,653
Males,Bulgaria,Industry and construction,596
Males,Bulgaria,Industry (except construction),630
Males,Bulgaria,Mining and quarrying,868
Males,Bulgaria,Manufacturing,590
Males,Bulgaria,Electricity gas steam and air conditioning supply,1052
Males,Bulgaria,Water supply; sewerage waste management and remediation activities,477
Males,Bulgaria,Construction,492
Males,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),695
Males,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),699
Males,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,747
Males,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,626
Males,Bulgaria,Transportation and storage,611
Males,Bulgaria,Accommodation and food service activities,408
Males,Bulgaria,Information and communication,1522
Males,Bulgaria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,605
Males,Bulgaria,Financial and insurance activities,1077
Males,Bulgaria,Real estate activities,518
Males,Bulgaria,Professional scientific and technical activities,993
Males,Bulgaria,Administrative and support service activities,415
Males,Bulgaria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,652
Males,Bulgaria,Public administration and defence; compulsory social security641
Males,Bulgaria,Education; human health and social work activities; arts entertainment and recreation; other service activities,657
Males,Bulgaria,Education,638
Males,Bulgaria,Human health and social work activities,771
Males,Bulgaria,Arts entertainment and recreation,586
Males,Bulgaria,Other service activities,445
Males,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1363
Males,Czechia,Industry construction and services (except public administration defense compulsory social security),1355
Males,Czechia,Business economy,1350
Males,Czechia,Industry and construction,1317
Males,Czechia,Industry (except construction),1332
Males,Czechia,Mining and quarrying,1357
Males,Czechia,Manufacturing,1332
Males,Czechia,Electricity gas steam and air conditioning supply,1695
Males,Czechia,Water supply; sewerage waste management and remediation activities,1093
Males,Czechia,Construction,1220
Males,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),1405
Males,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1394
Males,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1412
Males,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1363
Males,Czechia,Transportation and storage,1197
Males,Czechia,Accommodation and food service activities,862
Males,Czechia,Information and communication,2279
Males,Czechia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1347
Males,Czechia,Financial and insurance activities,2400
Males,Czechia,Real estate activities,1212
Males,Czechia,Professional scientific and technical activities,1884
Males,Czechia,Administrative and support service activities,855
Males,Czechia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1443
Males,Czechia,Public administration and defence; compulsory social security1483
Males,Czechia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1409
Males,Czechia,Education,1391
Males,Czechia,Human health and social work activities,1612
Males,Czechia,Arts entertainment and recreation,1164
Males,Czechia,Other service activities,1096
Males,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4936
Males,Denmark,Industry construction and services (except public administration defense compulsory social security),4924
Males,Denmark,Business economy,5009
Males,Denmark,Industry and construction,5224
Males,Denmark,Industry (except construction),5459
Males,Denmark,Mining and quarrying,7960
Males,Denmark,Manufacturing,5363
Males,Denmark,Electricity gas steam and air conditioning supply,6792
Males,Denmark,Water supply; sewerage waste management and remediation activities,4908
Males,Denmark,Construction,4768
Males,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),4841
Males,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4817
Males,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4687
Males,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,4246
Males,Denmark,Transportation and storage,5330
Males,Denmark,Accommodation and food service activities,3314
Males,Denmark,Information and communication,6339
Males,Denmark,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5253
Males,Denmark,Financial and insurance activities,7063
Males,Denmark,Real estate activities,4786
Males,Denmark,Professional scientific and technical activities,6476
Males,Denmark,Administrative and support service activities,4001
Males,Denmark,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4716
Males,Denmark,Public administration and defence; compulsory social security5141
Males,Denmark,Education; human health and social work activities; arts entertainment and recreation; other service activities,4593
Males,Denmark,Education,4808
Males,Denmark,Human health and social work activities,4427
Males,Denmark,Arts entertainment and recreation,3981
Males,Denmark,Other service activities,5464
Males,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3702
Males,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),3697
Males,Germany (until 1990 former territory of the FRG),Business economy,3661
Males,Germany (until 1990 former territory of the FRG),Industry and construction,3927
Males,Germany (until 1990 former territory of the FRG),Industry (except construction),4109
Males,Germany (until 1990 former territory of the FRG),Mining and quarrying,4082
Males,Germany (until 1990 former territory of the FRG),Manufacturing,4104
Males,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,5197
Males,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,3335
Males,Germany (until 1990 former territory of the FRG),Construction,3030
Males,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),3567
Males,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3541
Males,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3259
Males,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,3274
Males,Germany (until 1990 former territory of the FRG),Transportation and storage,2822
Males,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,2074
Males,Germany (until 1990 former territory of the FRG),Information and communication,5033
Males,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3714
Males,Germany (until 1990 former territory of the FRG),Financial and insurance activities,5427
Males,Germany (until 1990 former territory of the FRG),Real estate activities,3834
Males,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,4863
Males,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2497
Males,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3873
