"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","1 926"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","887"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","1 779"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","978"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","1 961"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","583"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 170"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","1 208"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 423"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","849"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 703"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","1 065"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","2 136"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","640"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","1 284"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","849"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","1 703"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","591"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 185"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","729"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 462"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","799"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","1 603"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","697"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 398"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","625"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 253"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","871"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","1 747"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","638"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 279"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","1 153"
"Total","North Macedonia","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 313"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","528"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","976"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","553"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","1 023"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","567"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","1 048"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","607"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","1 123"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","986"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","1 823"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","502"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","928"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","714"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","1 319"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","450"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","832"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","489"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","903"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","520"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","961"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","485"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","897"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","424"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","783"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","546"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","1 009"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","336"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","621"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","650"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","1 202"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","605"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 118"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","848"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","1 567"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","513"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","949"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","566"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","1 046"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","513"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","948"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","493"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","912"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","502"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","929"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","465"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","859"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","463"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","856"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","575"
"Total","Albania","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 064"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","859"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 544"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","860"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","1 546"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","950"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","1 707"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","899"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","1 615"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","923"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","1 659"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","1 238"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","2 225"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","892"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","1 602"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1 265"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","2 273"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","674"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","1 211"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","722"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","1 297"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","851"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 528"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","851"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 529"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","890"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","1 599"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","804"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","1 444"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","794"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","1 427"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","731"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 314"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","1 127"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 025"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1 093"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 964"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","1 275"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","2 290"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","1 084"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","1 948"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","1 102"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","1 980"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","750"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 348"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","767"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 378"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","848"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","1 524"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","746"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 341"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","686"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 233"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","869"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","1 561"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","728"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 307"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","889"
"Total","Serbia","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 598"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","4 561"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","3 974"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","4 783"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","4 166"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","4 561"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","3 974"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","4 710"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","4 103"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","4 067"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","3 543"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","4 628"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","4 031"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","5 460"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","4 757"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","5 036"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","4 388"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","3 952"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","3 443"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4 562"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 974"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","4 775"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 160"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","4 653"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","4 054"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","4 602"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","4 009"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","4 105"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 576"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","5 286"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 605"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","5 156"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","4 492"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","5 329"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","4 642"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","5 129"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","4 468"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","5 271"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","4 592"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","4 641"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","4 043"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)",":"
