"SEX","GEO","INDIC_SE","ISCO08","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Total","Norway","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4,568"
"Total","Norway","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","5,161"
"Total","Norway","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4,450"
"Total","Norway","Gross earnings","Total","Education","2018","10 employees or more","Euro","4,629"
"Total","Norway","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","4,418"
"Total","Norway","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","3,920"
"Total","Norway","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","4,479"
"Total","Switzerland","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","6,622"
"Total","Switzerland","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","6,620"
"Total","Switzerland","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","6,633"
"Total","Switzerland","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","6,361"
"Total","Switzerland","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","6,464"
"Total","Switzerland","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","6,237"
"Total","Switzerland","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","6,414"
"Total","Switzerland","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","7,653"
"Total","Switzerland","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","6,306"
"Total","Switzerland","Gross earnings","Total","Construction","2018","10 employees or more","Euro","6,091"
"Total","Switzerland","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","6,715"
"Total","Switzerland","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","6,712"
"Total","Switzerland","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","6,143"
"Total","Switzerland","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","6,090"
"Total","Switzerland","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","5,992"
"Total","Switzerland","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","4,461"
"Total","Switzerland","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","8,565"
"Total","Switzerland","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","7,632"
"Total","Switzerland","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","9,544"
"Total","Switzerland","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","6,787"
"Total","Switzerland","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","8,432"
"Total","Switzerland","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","5,388"
"Total","Switzerland","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","6,587"
"Total","Switzerland","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","7,976"
"Total","Switzerland","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","6,578"
"Total","Switzerland","Gross earnings","Total","Education","2018","10 employees or more","Euro","7,752"
"Total","Switzerland","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","6,328"
"Total","Switzerland","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","6,322"
"Total","Switzerland","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","6,695"
"Total","United Kingdom","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,266"
"Total","United Kingdom","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,258"
"Total","United Kingdom","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,334"
"Total","United Kingdom","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","3,503"
"Total","United Kingdom","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","3,431"
"Total","United Kingdom","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","5,002"
"Total","United Kingdom","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","3,350"
"Total","United Kingdom","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","4,140"
"Total","United Kingdom","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","3,445"
"Total","United Kingdom","Gross earnings","Total","Construction","2018","10 employees or more","Euro","3,745"
"Total","United Kingdom","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,227"
"Total","United Kingdom","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,215"
"Total","United Kingdom","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","2,868"
"Total","United Kingdom","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","2,672"
"Total","United Kingdom","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","3,327"
"Total","United Kingdom","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","1,999"
"Total","United Kingdom","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","4,334"
"Total","United Kingdom","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3,897"
"Total","United Kingdom","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","5,063"
"Total","United Kingdom","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,258"
"Total","United Kingdom","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,459"
"Total","United Kingdom","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","2,813"
"Total","United Kingdom","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,164"
"Total","United Kingdom","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","3,397"
"Total","United Kingdom","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,128"
"Total","United Kingdom","Gross earnings","Total","Education","2018","10 employees or more","Euro","3,191"
"Total","United Kingdom","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,120"
"Total","United Kingdom","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","2,838"
"Total","United Kingdom","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","2,983"
"Total","North Macedonia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","600"
"Total","North Macedonia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","586"
"Total","North Macedonia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","584"
"Total","North Macedonia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","533"
"Total","North Macedonia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","529"
"Total","North Macedonia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","838"
"Total","North Macedonia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","490"
"Total","North Macedonia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","942"
"Total","North Macedonia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","502"
"Total","North Macedonia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","561"
"Total","North Macedonia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","638"
"Total","North Macedonia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","624"
"Total","North Macedonia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","645"
"Total","North Macedonia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","610"
"Total","North Macedonia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","626"
"Total","North Macedonia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","436"
"Total","North Macedonia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","1,088"
"Total","North Macedonia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","623"
"Total","North Macedonia","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","994"
"Total","North Macedonia","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","486"
"Total","North Macedonia","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","719"
"Total","North Macedonia","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","450"
"Total","North Macedonia","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","637"
"Total","North Macedonia","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","702"
"Total","North Macedonia","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","597"
"Total","North Macedonia","Gross earnings","Total","Education","2018","10 employees or more","Euro","579"
"Total","North Macedonia","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","626"
"Total","North Macedonia","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","545"
"Total","North Macedonia","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","779"
"Total","Albania","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","398"
"Total","Albania","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","378"
"Total","Albania","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","345"
"Total","Albania","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","342"
"Total","Albania","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","642"
"Total","Albania","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","275"
"Total","Albania","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","610"
"Total","Albania","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","329"
"Total","Albania","Gross earnings","Total","Construction","2018","10 employees or more","Euro","355"
"Total","Albania","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","433"
"Total","Albania","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","351"
"Total","Albania","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","316"
"Total","Albania","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","416"
"Total","Albania","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","262"
"Total","Albania","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","590"
"Total","Albania","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","523"
"Total","Albania","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","802"
"Total","Albania","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","395"
"Total","Albania","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","504"
"Total","Albania","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","447"
"Total","Albania","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Total","Albania","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","465"
"Total","Albania","Gross earnings","Total","Education","2018","10 employees or more","Euro","485"
"Total","Albania","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","442"
"Total","Albania","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","428"
"Total","Albania","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","449"
"Total","Serbia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","631"
"Total","Serbia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","626"
"Total","Serbia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","630"
"Total","Serbia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","617"
"Total","Serbia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","630"
"Total","Serbia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","826"
"Total","Serbia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","586"
"Total","Serbia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,099"
"Total","Serbia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","515"
"Total","Serbia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","517"
"Total","Serbia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","639"
"Total","Serbia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","632"
"Total","Serbia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","594"
"Total","Serbia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","527"
"Total","Serbia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","603"
"Total","Serbia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","467"
"Total","Serbia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","934"
"Total","Serbia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","736"
"Total","Serbia","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","1,083"
"Total","Serbia","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","690"
"Total","Serbia","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","893"
"Total","Serbia","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","500"
"Total","Serbia","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","634"
"Total","Serbia","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","719"
"Total","Serbia","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","615"
"Total","Serbia","Gross earnings","Total","Education","2018","10 employees or more","Euro","617"
"Total","Serbia","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","627"
"Total","Serbia","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","526"
"Total","Serbia","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","653"
"Total","Turkey","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Turkey","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","768"
"Total","Turkey","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","702"
"Total","Turkey","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","676"
"Total","Turkey","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","684"
"Total","Turkey","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","841"
"Total","Turkey","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","666"
"Total","Turkey","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","866"
"Total","Turkey","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","795"
"Total","Turkey","Gross earnings","Total","Construction","2018","10 employees or more","Euro","631"
"Total","Turkey","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Turkey","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","839"
"Total","Turkey","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","691"
"Total","Turkey","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","657"
"Total","Turkey","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","777"
"Total","Turkey","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","546"
"Total","Turkey","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","1,367"
"Total","Turkey","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","856"
"Total","Turkey","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","1,153"
"Total","Turkey","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","706"
"Total","Turkey","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,123"
"Total","Turkey","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","593"
"Total","Turkey","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Total","Turkey","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Total","Turkey","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,052"
"Total","Turkey","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,077"
"Total","Turkey","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,031"
"Total","Turkey","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","922"
"Total","Turkey","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","835"
"Males","Belgium","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,529"
"Males","Belgium","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,642"
"Males","Belgium","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","3,814"
"Males","Belgium","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","3,992"
"Males","Belgium","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","3,209"
"Males","Belgium","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","3,926"
"Males","Belgium","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","5,337"
"Males","Belgium","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","4,216"
"Males","Belgium","Gross earnings","Total","Construction","2018","10 employees or more","Euro","3,337"
"Males","Belgium","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,432"
"Males","Belgium","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","3,413"
"Males","Belgium","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3,428"
"Males","Belgium","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","3,194"
"Males","Belgium","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","2,662"
"Males","Belgium","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","4,643"
"Males","Belgium","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3,817"
"Males","Belgium","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","4,665"
"Males","Belgium","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,844"
"Males","Belgium","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,677"
"Males","Belgium","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","2,971"
"Males","Belgium","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Males","Belgium","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,195"
"Males","Belgium","Gross earnings","Total","Education","2018","10 employees or more","Euro","3,788"
"Males","Belgium","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,023"
"Males","Belgium","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","2,852"
"Males","Belgium","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","3,128"
"Males","Bulgaria","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","653"
"Males","Bulgaria","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","653"
"Males","Bulgaria","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","653"
"Males","Bulgaria","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","596"
"Males","Bulgaria","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","630"
"Males","Bulgaria","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","868"
"Males","Bulgaria","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","590"
"Males","Bulgaria","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,052"
"Males","Bulgaria","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","477"
"Males","Bulgaria","Gross earnings","Total","Construction","2018","10 employees or more","Euro","492"
"Males","Bulgaria","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","695"
"Males","Bulgaria","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","699"
"Males","Bulgaria","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","747"
"Males","Bulgaria","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","626"
"Males","Bulgaria","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","611"
"Males","Bulgaria","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","408"
"Males","Bulgaria","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","1,522"
"Males","Bulgaria","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","605"
"Males","Bulgaria","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","1,077"
"Males","Bulgaria","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","518"
"Males","Bulgaria","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","993"
"Males","Bulgaria","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","415"
"Males","Bulgaria","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","652"
"Males","Bulgaria","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","641"
"Males","Bulgaria","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","657"
"Males","Bulgaria","Gross earnings","Total","Education","2018","10 employees or more","Euro","638"
"Males","Bulgaria","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","771"
"Males","Bulgaria","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","586"
"Males","Bulgaria","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","445"
"Males","Czechia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,363"
"Males","Czechia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,355"
"Males","Czechia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,350"
"Males","Czechia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,317"
"Males","Czechia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,332"
"Males","Czechia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,357"
"Males","Czechia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,332"
"Males","Czechia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,695"
"Males","Czechia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,093"
"Males","Czechia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,220"
"Males","Czechia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,405"
"Males","Czechia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,394"
"Males","Czechia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,412"
"Males","Czechia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,363"
"Males","Czechia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,197"
"Males","Czechia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","862"
"Males","Czechia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,279"
"Males","Czechia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,347"
